rown,date,res,m2,exp,impt,usd,urru,sal,imo,bci,rate,cpi,ibk,epu,cons,news
100,2016-03-31,23175.8695946223,34698.7,1633.8724535,1081.8723272,70.4711,2537.664311,35501,1871.15,12372.7,11,100.46,-2.37999601614658,183.25971,95.6218165648135,-1.54512814199999
101,2016-04-30,22072.8745819992,35113.1,1450.348725,1007.7756451,66.6827,2956.710918,36497,1953.05,12927.61,11,100.44,-6.98331103186504,135.03347,95.9820126458815,-1.12873918
102,2016-05-31,21654.738044951,35650.5,1447.343846,947.976731,65.663,3132.78173,37270,1899.01,12451.26,11,100.41,-6.6044439738339,73.06627,96.4871428517784,-0.730799465999999
103,2016-06-30,21502.5435252055,35867.9,1569.825628,1043.720492,65.306,3059.5861,38447,1891.09,12360.15,11,100.36,-2.51405447236104,249.32166,97.1067298812689,-0.558014066
104,2016-07-31,21191.0541846571,36039,1443.9766299999999,1038.608096,64.334,2541.83634,35888,1944.62,12649.98,10.5,100.54,-3.81010976860449,97.64325,97.7329302866656,-0.108641535
105,2016-08-31,21456.3001646479,36194.4,1500.0482255,1197.7662719,64.9231,2876.742561,35405,1971.59,12810.85,10.5,100.01,-1.17540315864733,313.06868,98.2367801445205,-0.033417964
106,2016-09-30,21461.3262109014,36148.8,1638.7765144,1160.1082984,64.5976,2993.452784,35843,1978,12924.39,10.5,100.17,-2.83048200353687,237.50038,98.5178273504099,-0.387667794
107,2016-10-31,20452.9442022437,36051,1551.3877298,1139.518764,62.6798,2811.18903,35749,1989.64,13012,10,100.43,-5.772767896847,113.41356,98.6761144612603,-0.525729409
108,2016-11-30,20829.2222090686,36433,1707.6313584,1133.722538,64.3612,3015.32222,36195,2104.91,13791.86,10,100.44,-9.71061809292399,233.34311,98.8276790180573,-0.215534104
109,2016-12-31,19746.4076911617,38417.9,1940.7223023,1216.1461779,62.1847,3324.394062,47554,2232.72,14736.86,10,100.4,-0.29179162087965,323.78206,99.0428139635919,0.0826448479999999
110,2017-01-31,19644.1497656757,38016.8,1524.3162592,816.4780844,59.9558,3234.61541,34422,2217.39,14443.65,10,100.62,-22.8552223932003,400.01677,99.291050614261,0.392892794
111,2017-02-28,19296.797622223,38475.2,1507.684022,903.6761396,58.3921,3054.490751,35497,2035.77,13222.07,10,100.22,-8.83045555238979,227.87813,99.5156663003247,0.510760847
112,2017-03-31,19193.5289242674,38555.2,1820.3308173,1104.1446111,58.1037,2940.04722,37899,1995.9,12953.76,10,100.13,3.58995350070529,291.41493,99.6750903010299,0.729786434
113,2017-04-30,18753.7229124143,38664.5,1469.94507,1030.63752,56.43,2785.3848,39225,2016.71,13074.91,9.75,100.33,-7.06089369076244,143.63007,99.8079307443379,0.913982265
114,2017-05-31,19233.2381202932,39223.6,1613.9091,1122.59012,57.17,2752.7355,39679,1900.38,12272.49,9.75,100.37,-1.31923491072271,139.03436,99.970098134817,0.87315744
115,2017-06-30,19858.3575996964,39623.1,1706.51299115671,1203.7811443633,57.8184987686503,2664.27642325941,41454,1879.5,12146.89,9.25,100.61,-1.04518581161511,107.03203,100.198512438932,0.822313455
116,2017-07-31,20788.2265752738,39275.9,1469.87097072382,1243.60845870853,59.6683839702776,3087.24218662216,38073,1919.53,12345.46,9,100.07,-2.68735178338954,181.05177,100.445483223161,0.526740932
117,2017-08-31,20904.6430926632,39419.3,1733.09765830282,1338.89190308106,59.6468081739681,3083.14351451241,37099,2022.22,13016.65,9,99.46,0.423642482221226,149.64943,100.639937935676,0.346706145
118,2017-09-30,20259.45131921,39571,1774.14506545847,1186.07116047268,57.6938982621206,3246.43565520953,38047,2077.19,13417.52,9,99.85,-3.51650455475769,101.00841,100.730093707902,0.315803251
119,2017-10-31,20271.2001003377,39667.5,1819.81819007512,1242.69283886549,57.7298540771854,3530.18057681989,38333,2064.31,13300.91,8.5,100.2,-2.43858529598808,274.8134,100.778645227794,0.79526395
120,2017-11-30,20946.1672340617,40114.4,1969.10419198373,1296.90677938859,58.9181709698613,3731.28776752132,38848,2100.62,13621.36,8.25,100.22,-8.2065668596544,250.45494,100.872608967617,0.753071039
121,2017-12-31,20861.6808858117,42442.2,2178.8868024,1416.7363248,58.5864,3909.470472,51197,2109.74,13672.33,8.25,100.42,0.0139360977460399,320.66006,101.074771664045,0.542624318
122,2018-01-31,20859.1077150027,41597.5,1909.088166,949.7742018,56.7843,3785.809281,39017,2289.99,15017.86,7.75,100.31,-22.0007847162703,72.88907,101.329726578347,0.699308447
123,2018-02-28,21192.4313799982,42045.5,1778.361918,1086.729388,56.8076,3626.029108,40443,2296.8,15040.05,7.75,100.21,-6.69833151978401,206.45942,101.551353385742,1.137026072
124,2018-03-31,21530.0233568336,42377,2089.5787178,1235.2799129,57.0331,3859.429877,42364,2270.98,14911.97,7.5,100.29,2.36890727011198,87.84682,101.657505846899,0.685640166
125,2018-04-30,22884.7418138807,43122,2176.1503484,1268.4189588,60.4268,4421.428956,43381,2307.02,15270.03,7.25,100.38,-2.40892038652316,332.26183,101.638027586324,0.481237868
126,2018-05-31,23397.1211649423,43257.4,2273.1389604,1328.3511948,62.2062,4712.11965,44076,2302.88,15295.57,7.25,100.38,-1.18275711953473,217.15746,101.448599631211,0.457759002
127,2018-06-30,23740.5661826672,44126.7,2278.183372,1320.7669015,62.7115,4793.66706,45848,2295.95,15277.87,7.25,100.49,-2.72217742957505,69.94087,101.030218672012,0.479416165
128,2018-07-31,23932.6456804668,43910.3,2161.0485105,1335.854586,62.8815,4575.25794,42413,2321.11,15427.62,7.25,100.27,-2.15722954788288,120.50759,100.498625017551,0.201523826
129,2018-08-31,25336.7953244263,44369.1,2480.1262656,1432.3317424,66.0944,5081.998416,41364,2345.85,15618.89,7.25,100.01,-0.192554622266584,212.81773,99.983398382641,0.23049498400000001
130,2018-09-30,25817.832477182,44254.7,2616.4390626,1340.0134803,67.6467,5551.764669,41774,2475.36,16597.36,7.25,100.16,-5.54704808854791,289.8225,99.58026637096,-0.247558385
131,2018-10-31,24936.5866454901,44218.4,2724.2912697,1416.53395,65.8853,4828.733637,42332,2352.71,15723.13,7.5,100.35,-1.67547390095874,247.70269,99.2870459383758,-0.109315008
132,2018-11-30,25115.3231047774,44891.6,2667.8477875,1409.666475,66.2375,3835.813625,42595,2392.5,15965.66,7.5,100.5,-8.50609697657325,337.34747,99.1171328188361,-0.298918076
133,2018-12-31,25681.0305578595,47109.3,2777.7843371,1509.5322583,67.3027,3406.862674,55569,2369.33,15796.11,7.5,100.84,-0.90096109968016,175.41591,99.1030793711598,-0.014599497
134,2019-01-31,26021.3341307121,45721.2,2076.8128832,1102.1706032,67.3328,4239.273088,42263,2521.1,16924.6,7.75,101.01,-20.5225526096438,334.68366,99.1768651127852,-0.177300789
135,2019-02-28,25748.3653822378,46212.6,2287.8203634,1197.4537926,65.8593,4263.072489,43062,2485.27,16638.24,7.75,100.44,-6.38218091085631,125.48891,99.2804976960434,-0.39038259
136,2019-03-31,25912.141873405,46141.2,2412.8278731,1361.8774674,65.1429,4470.757227,46324,2497.1,16729.6,7.75,100.32,1.20989364723076,203.07158,99.3887746951306,-0.016582936
137,2019-04-30,25914.8281423776,46435.9,2370.991581,1422.86634,64.617,4722.85653,48030,2559.32,17266.96,7.75,100.29,-0.27148323156581,223.45422,99.5021985514465,0.154189998
138,2019-05-31,26272.258184104,46735.3,2105.197696,1286.9706112,64.8152,4386.692736,47926,2665.33,18134.33,7.75,100.34,-3.32269702817251,256.2511,99.6352471031054,0.137494056
139,2019-06-30,26850.192375794,47349.4,2079.3998742,1282.8221604,64.2246,4256.164242,49348,2765.85,18763.64,7.75,100.04,-1.73335575938231,308.56872,99.7994972572169,0.185526979
140,2019-07-31,26407.193252012,47351,2108.9904693,1410.0804696,63.1983,4100.937687,46509,2739.5,18672.57,7.5,100.2,1.44226592231561,317.88512,99.9671239668248,-0.112383873
141,2019-08-31,27495.3172833543,47584.1,2247.275901,1436.7625428,65.5278,4068.621102,44961,2740.04,18580.14,7.25,99.76,-1.16074531840806,185.52218,100.09974513399,-0.266600472
142,2019-09-30,27490.2782525675,48266.8,2305.7975575,1360.150894,64.9795,3894.87123,45541,2747.18,18609.68,7.25,99.84,-2.68371016171233,326.32566,100.173889957378,-0.425530127
143,2019-10-31,27864.6981086872,48082.4,2381.737839,1534.0039143,64.3539,3870.887085,46549,2893.98,19743.58,7,100.13,-2.48535869311107,373.73587,100.241472822287,0.303820559
144,2019-11-30,27853.1704836614,49195.3,2284.19559,1482.753705,63.865,4160.80475,46285,2935.37,20062.09,6.5,100.28,-8.982170585631,431.24692,100.355648477261,0.113629596
